seed,cope,target,subject,phase,conn
sgACC,csp,sgACC,1,baseline,-0.5601523518562317
sgACC,csp,sgACC,1,acquisition,-2.469928503036499
sgACC,csp,sgACC,1,extinction,-1.0870004892349243
sgACC,csp,sgACC,2,baseline,2.387144088745117
sgACC,csp,sgACC,2,acquisition,4.15386438369751
sgACC,csp,sgACC,2,extinction,3.2159533500671387
sgACC,csp,sgACC,3,baseline,0.7725264430046082
sgACC,csp,sgACC,3,acquisition,1.266466498374939
sgACC,csp,sgACC,3,extinction,0.502763569355011
sgACC,csp,sgACC,4,baseline,3.386814832687378
sgACC,csp,sgACC,4,acquisition,5.004973411560059
sgACC,csp,sgACC,4,extinction,2.207664966583252
sgACC,csp,sgACC,5,baseline,-0.5650395154953003
sgACC,csp,sgACC,5,acquisition,0.7641005516052246
sgACC,csp,sgACC,5,extinction,0.9479435682296753
sgACC,csp,sgACC,6,baseline,2.2148728370666504
sgACC,csp,sgACC,6,acquisition,0.6843461394309998
sgACC,csp,sgACC,6,extinction,0.364317923784256
sgACC,csp,sgACC,7,baseline,7.678314685821533
sgACC,csp,sgACC,7,acquisition,2.194244861602783
sgACC,csp,sgACC,7,extinction,1.9058308601379395
sgACC,csp,sgACC,8,baseline,5.628161907196045
sgACC,csp,sgACC,8,acquisition,-0.4481363892555237
sgACC,csp,sgACC,8,extinction,0.44295623898506165
sgACC,csp,sgACC,9,baseline,-3.33829927444458
sgACC,csp,sgACC,9,acquisition,-2.52713942527771
sgACC,csp,sgACC,9,extinction,1.2003488540649414
sgACC,csp,sgACC,10,baseline,-1.6164242029190063
sgACC,csp,sgACC,10,acquisition,1.3383597135543823
sgACC,csp,sgACC,10,extinction,1.1616930961608887
sgACC,csp,sgACC,12,baseline,0.516155481338501
sgACC,csp,sgACC,12,acquisition,-0.21512764692306519
sgACC,csp,sgACC,12,extinction,-0.4774659276008606
sgACC,csp,sgACC,13,baseline,1.1079894304275513
sgACC,csp,sgACC,13,acquisition,-2.792389154434204
sgACC,csp,sgACC,13,extinction,-5.617746353149414
sgACC,csp,sgACC,14,baseline,0.2978607714176178
sgACC,csp,sgACC,14,acquisition,-1.454875111579895
sgACC,csp,sgACC,14,extinction,3.8312747478485107
sgACC,csp,sgACC,15,baseline,0.6613566875457764
sgACC,csp,sgACC,15,acquisition,-0.8359119892120361
sgACC,csp,sgACC,15,extinction,0.5429425835609436
sgACC,csp,sgACC,16,baseline,3.735913038253784
sgACC,csp,sgACC,16,acquisition,-1.0031489133834839
sgACC,csp,sgACC,16,extinction,1.598495364189148
sgACC,csp,sgACC,17,baseline,0.7791929841041565
sgACC,csp,sgACC,17,acquisition,1.7305222749710083
sgACC,csp,sgACC,17,extinction,-1.0635321140289307
sgACC,csp,sgACC,18,baseline,-0.6819718480110168
sgACC,csp,sgACC,18,acquisition,2.5721657276153564
sgACC,csp,sgACC,18,extinction,-3.0012269020080566
sgACC,csp,sgACC,19,baseline,1.22661554813385
sgACC,csp,sgACC,19,acquisition,0.6060575246810913
sgACC,csp,sgACC,19,extinction,0.45660796761512756
sgACC,csp,sgACC,20,baseline,-1.2193106412887573
sgACC,csp,sgACC,20,acquisition,2.054917097091675
sgACC,csp,sgACC,20,extinction,4.778316497802734
