seed,cope,target,subject,phase,conn
mOFC,acq_ext,mOFC,1,memory_run-01,-0.038999304
mOFC,acq_ext,mOFC,1,memory_run-02,-0.03785571
mOFC,acq_ext,mOFC,1,memory_run-03,-0.5527527
mOFC,acq_ext,mOFC,2,memory_run-01,0.548486
mOFC,acq_ext,mOFC,2,memory_run-02,0.66795653
mOFC,acq_ext,mOFC,2,memory_run-03,-0.43208414
mOFC,acq_ext,mOFC,3,memory_run-01,-0.016305244
mOFC,acq_ext,mOFC,3,memory_run-02,-0.49199173
mOFC,acq_ext,mOFC,3,memory_run-03,-0.18799342
mOFC,acq_ext,mOFC,4,memory_run-01,0.20136271
mOFC,acq_ext,mOFC,4,memory_run-02,0.11378605
mOFC,acq_ext,mOFC,4,memory_run-03,-0.15372942
mOFC,acq_ext,mOFC,5,memory_run-01,-0.3573088
mOFC,acq_ext,mOFC,5,memory_run-02,0.3294669
mOFC,acq_ext,mOFC,5,memory_run-03,0.23282646
mOFC,acq_ext,mOFC,6,memory_run-01,0.6065183
mOFC,acq_ext,mOFC,6,memory_run-02,0.19587046
mOFC,acq_ext,mOFC,6,memory_run-03,-0.38079196
mOFC,acq_ext,mOFC,7,memory_run-01,0.43423432
mOFC,acq_ext,mOFC,7,memory_run-02,-0.0069827666
mOFC,acq_ext,mOFC,7,memory_run-03,0.1389334
mOFC,acq_ext,mOFC,8,memory_run-01,0.19600406
mOFC,acq_ext,mOFC,8,memory_run-02,0.017642885
mOFC,acq_ext,mOFC,8,memory_run-03,-0.38800368
mOFC,acq_ext,mOFC,9,memory_run-01,-0.41527238
mOFC,acq_ext,mOFC,9,memory_run-02,0.072935596
mOFC,acq_ext,mOFC,9,memory_run-03,-0.24158145
mOFC,acq_ext,mOFC,10,memory_run-01,0.0044352417
mOFC,acq_ext,mOFC,10,memory_run-02,-0.9907806
mOFC,acq_ext,mOFC,10,memory_run-03,-0.20377071
mOFC,acq_ext,mOFC,12,memory_run-01,0.23590802
mOFC,acq_ext,mOFC,12,memory_run-02,0.20336194
mOFC,acq_ext,mOFC,12,memory_run-03,-0.078652024
mOFC,acq_ext,mOFC,13,memory_run-01,0.26316693
mOFC,acq_ext,mOFC,13,memory_run-02,0.40571827
mOFC,acq_ext,mOFC,13,memory_run-03,-0.19326605
mOFC,acq_ext,mOFC,14,memory_run-01,0.31084922
mOFC,acq_ext,mOFC,14,memory_run-02,0.02716106
mOFC,acq_ext,mOFC,14,memory_run-03,-0.034846235
mOFC,acq_ext,mOFC,15,memory_run-01,0.08318254
mOFC,acq_ext,mOFC,15,memory_run-02,0.11448288
mOFC,acq_ext,mOFC,15,memory_run-03,-0.02845416
mOFC,acq_ext,mOFC,16,memory_run-01,0.08481685
mOFC,acq_ext,mOFC,16,memory_run-02,0.13111418
mOFC,acq_ext,mOFC,16,memory_run-03,-0.038628675
mOFC,acq_ext,mOFC,17,memory_run-01,-0.25013053
mOFC,acq_ext,mOFC,17,memory_run-02,-0.1123243
mOFC,acq_ext,mOFC,17,memory_run-03,0.03278625
mOFC,acq_ext,mOFC,18,memory_run-01,-0.16546181
mOFC,acq_ext,mOFC,18,memory_run-02,0.069367304
mOFC,acq_ext,mOFC,18,memory_run-03,-0.13129742
mOFC,acq_ext,mOFC,19,memory_run-01,0.31125814
mOFC,acq_ext,mOFC,19,memory_run-02,-0.11875163
mOFC,acq_ext,mOFC,19,memory_run-03,0.73632926
mOFC,acq_ext,mOFC,20,memory_run-01,-0.13925144
mOFC,acq_ext,mOFC,20,memory_run-02,0.28614175
mOFC,acq_ext,mOFC,20,memory_run-03,0.2446102
mOFC,acq_ext,mOFC,21,memory_run-01,0.3079843
mOFC,acq_ext,mOFC,21,memory_run-02,0.11322634
mOFC,acq_ext,mOFC,21,memory_run-03,-0.19939217
mOFC,acq_ext,mOFC,23,memory_run-01,0.05246632
mOFC,acq_ext,mOFC,23,memory_run-02,-0.64016324
mOFC,acq_ext,mOFC,23,memory_run-03,-0.10644976
mOFC,acq_ext,mOFC,24,memory_run-01,0.1280945
mOFC,acq_ext,mOFC,24,memory_run-02,-0.020782838
mOFC,acq_ext,mOFC,24,memory_run-03,-0.5868704
mOFC,acq_ext,mOFC,25,memory_run-01,0.27059674
mOFC,acq_ext,mOFC,25,memory_run-02,-0.08197867
mOFC,acq_ext,mOFC,25,memory_run-03,0.010991948
mOFC,acq_ext,mOFC,26,memory_run-01,-0.25738764
mOFC,acq_ext,mOFC,26,memory_run-02,0.0772624
mOFC,acq_ext,mOFC,26,memory_run-03,-0.0652718
mOFC,acq_ext,mOFC,101,memory_run-01,-0.011002378
mOFC,acq_ext,mOFC,101,memory_run-02,-0.6685892
mOFC,acq_ext,mOFC,101,memory_run-03,0.0021248523
mOFC,acq_ext,mOFC,102,memory_run-01,-0.054160297
mOFC,acq_ext,mOFC,102,memory_run-02,0.20602073
mOFC,acq_ext,mOFC,102,memory_run-03,0.12953636
mOFC,acq_ext,mOFC,103,memory_run-01,-0.18172306
mOFC,acq_ext,mOFC,103,memory_run-02,0.23440877
mOFC,acq_ext,mOFC,103,memory_run-03,-0.70881647
mOFC,acq_ext,mOFC,104,memory_run-01,-0.15312828
mOFC,acq_ext,mOFC,104,memory_run-02,-0.23538046
mOFC,acq_ext,mOFC,104,memory_run-03,-0.3152418
mOFC,acq_ext,mOFC,105,memory_run-01,-0.3767854
mOFC,acq_ext,mOFC,105,memory_run-02,0.07292895
mOFC,acq_ext,mOFC,105,memory_run-03,0.18370387
mOFC,acq_ext,mOFC,106,memory_run-01,-0.41960186
mOFC,acq_ext,mOFC,106,memory_run-02,0.034349747
mOFC,acq_ext,mOFC,106,memory_run-03,0.7645638
mOFC,acq_ext,mOFC,107,memory_run-01,0.49401414
mOFC,acq_ext,mOFC,107,memory_run-02,0.43405196
mOFC,acq_ext,mOFC,107,memory_run-03,0.0914593
mOFC,acq_ext,mOFC,108,memory_run-01,-0.25177994
mOFC,acq_ext,mOFC,108,memory_run-02,-0.23439403
mOFC,acq_ext,mOFC,108,memory_run-03,-0.2976743
mOFC,acq_ext,mOFC,109,memory_run-01,-0.07041742
mOFC,acq_ext,mOFC,109,memory_run-02,0.010166037
mOFC,acq_ext,mOFC,109,memory_run-03,0.10366193
mOFC,acq_ext,mOFC,110,memory_run-01,-0.04497901
mOFC,acq_ext,mOFC,110,memory_run-02,-0.34154418
mOFC,acq_ext,mOFC,110,memory_run-03,-1.0749613
mOFC,acq_ext,mOFC,111,memory_run-01,-0.28584248
mOFC,acq_ext,mOFC,111,memory_run-02,0.5470092
mOFC,acq_ext,mOFC,111,memory_run-03,0.0044873008
mOFC,acq_ext,mOFC,112,memory_run-01,0.7515107
mOFC,acq_ext,mOFC,112,memory_run-02,-0.20285197
mOFC,acq_ext,mOFC,112,memory_run-03,0.05006958
mOFC,acq_ext,mOFC,113,memory_run-01,-0.19495755
mOFC,acq_ext,mOFC,113,memory_run-02,0.22775292
mOFC,acq_ext,mOFC,113,memory_run-03,-0.0071502747
mOFC,acq_ext,mOFC,114,memory_run-01,0.008662588
mOFC,acq_ext,mOFC,114,memory_run-02,0.78354657
mOFC,acq_ext,mOFC,114,memory_run-03,-0.49562132
mOFC,acq_ext,mOFC,115,memory_run-01,-0.080400266
mOFC,acq_ext,mOFC,115,memory_run-02,0.209536
mOFC,acq_ext,mOFC,115,memory_run-03,-0.43721232
mOFC,acq_ext,mOFC,116,memory_run-01,-0.0351696
mOFC,acq_ext,mOFC,116,memory_run-02,0.8172241
mOFC,acq_ext,mOFC,116,memory_run-03,0.16154772
mOFC,acq_ext,mOFC,117,memory_run-01,-0.11136885
mOFC,acq_ext,mOFC,117,memory_run-02,-0.10442174
mOFC,acq_ext,mOFC,117,memory_run-03,-0.010955208
mOFC,acq_ext,mOFC,118,memory_run-01,-0.32438254
mOFC,acq_ext,mOFC,118,memory_run-02,0.033460427
mOFC,acq_ext,mOFC,118,memory_run-03,0.30353063
mOFC,acq_ext,mOFC,120,memory_run-01,-0.028634245
mOFC,acq_ext,mOFC,120,memory_run-02,0.15545784
mOFC,acq_ext,mOFC,120,memory_run-03,0.1425458
mOFC,acq_ext,mOFC,121,memory_run-01,0.83463424
mOFC,acq_ext,mOFC,121,memory_run-02,-0.46875283
mOFC,acq_ext,mOFC,121,memory_run-03,0.06895028
mOFC,acq_ext,mOFC,122,memory_run-01,0.25694475
mOFC,acq_ext,mOFC,122,memory_run-02,0.26161224
mOFC,acq_ext,mOFC,122,memory_run-03,-0.20679353
mOFC,acq_ext,mOFC,123,memory_run-01,-0.12592788
mOFC,acq_ext,mOFC,123,memory_run-02,-0.35002482
mOFC,acq_ext,mOFC,123,memory_run-03,0.2588126
mOFC,acq_ext,mOFC,124,memory_run-01,0.46277195
mOFC,acq_ext,mOFC,124,memory_run-02,0.17270301
mOFC,acq_ext,mOFC,124,memory_run-03,0.72933984
mOFC,acq_ext,mOFC,125,memory_run-01,0.23452745
mOFC,acq_ext,mOFC,125,memory_run-02,-0.05099795
mOFC,acq_ext,mOFC,125,memory_run-03,0.378036
mOFC,acq_ext,dACC,1,memory_run-01,0.5884302
mOFC,acq_ext,dACC,1,memory_run-02,1.3599715
mOFC,acq_ext,dACC,1,memory_run-03,-0.24030884
mOFC,acq_ext,dACC,2,memory_run-01,0.8272897
mOFC,acq_ext,dACC,2,memory_run-02,-0.89413923
mOFC,acq_ext,dACC,2,memory_run-03,0.41760334
mOFC,acq_ext,dACC,3,memory_run-01,-0.033068404
mOFC,acq_ext,dACC,3,memory_run-02,-0.4260931
mOFC,acq_ext,dACC,3,memory_run-03,0.28691253
mOFC,acq_ext,dACC,4,memory_run-01,-0.09026159
mOFC,acq_ext,dACC,4,memory_run-02,0.5792158
mOFC,acq_ext,dACC,4,memory_run-03,0.29322872
mOFC,acq_ext,dACC,5,memory_run-01,-1.482428
mOFC,acq_ext,dACC,5,memory_run-02,-1.4968581
mOFC,acq_ext,dACC,5,memory_run-03,0.26982063
mOFC,acq_ext,dACC,6,memory_run-01,0.6944571
mOFC,acq_ext,dACC,6,memory_run-02,-1.2438993
mOFC,acq_ext,dACC,6,memory_run-03,-1.576338
mOFC,acq_ext,dACC,7,memory_run-01,-0.48493913
mOFC,acq_ext,dACC,7,memory_run-02,-0.100057945
mOFC,acq_ext,dACC,7,memory_run-03,-0.4885294
mOFC,acq_ext,dACC,8,memory_run-01,1.4475205
mOFC,acq_ext,dACC,8,memory_run-02,0.08962199
mOFC,acq_ext,dACC,8,memory_run-03,1.2169509
mOFC,acq_ext,dACC,9,memory_run-01,-0.30827957
mOFC,acq_ext,dACC,9,memory_run-02,0.7846117
mOFC,acq_ext,dACC,9,memory_run-03,-0.33631733
mOFC,acq_ext,dACC,10,memory_run-01,-0.67432034
mOFC,acq_ext,dACC,10,memory_run-02,-0.82760227
mOFC,acq_ext,dACC,10,memory_run-03,0.4776661
mOFC,acq_ext,dACC,12,memory_run-01,-0.19803764
mOFC,acq_ext,dACC,12,memory_run-02,0.8516848
mOFC,acq_ext,dACC,12,memory_run-03,0.49775776
mOFC,acq_ext,dACC,13,memory_run-01,-0.21337174
mOFC,acq_ext,dACC,13,memory_run-02,1.033931
mOFC,acq_ext,dACC,13,memory_run-03,0.032890625
mOFC,acq_ext,dACC,14,memory_run-01,0.8420242
mOFC,acq_ext,dACC,14,memory_run-02,-0.53448504
mOFC,acq_ext,dACC,14,memory_run-03,-0.053772256
mOFC,acq_ext,dACC,15,memory_run-01,0.4279462
mOFC,acq_ext,dACC,15,memory_run-02,-0.21278645
mOFC,acq_ext,dACC,15,memory_run-03,0.8202459
mOFC,acq_ext,dACC,16,memory_run-01,0.64287984
mOFC,acq_ext,dACC,16,memory_run-02,-0.37102225
mOFC,acq_ext,dACC,16,memory_run-03,0.57050186
mOFC,acq_ext,dACC,17,memory_run-01,-0.35829765
mOFC,acq_ext,dACC,17,memory_run-02,0.5711015
mOFC,acq_ext,dACC,17,memory_run-03,-0.6071042
mOFC,acq_ext,dACC,18,memory_run-01,1.1170653
mOFC,acq_ext,dACC,18,memory_run-02,0.886177
mOFC,acq_ext,dACC,18,memory_run-03,-0.08438603
mOFC,acq_ext,dACC,19,memory_run-01,0.8424841
mOFC,acq_ext,dACC,19,memory_run-02,-2.1577485
mOFC,acq_ext,dACC,19,memory_run-03,0.441906
mOFC,acq_ext,dACC,20,memory_run-01,0.547107
mOFC,acq_ext,dACC,20,memory_run-02,0.60702527
mOFC,acq_ext,dACC,20,memory_run-03,0.25771424
mOFC,acq_ext,dACC,21,memory_run-01,-1.8059075
mOFC,acq_ext,dACC,21,memory_run-02,0.5254787
mOFC,acq_ext,dACC,21,memory_run-03,-0.6761206
mOFC,acq_ext,dACC,23,memory_run-01,1.2507365
mOFC,acq_ext,dACC,23,memory_run-02,0.5640214
mOFC,acq_ext,dACC,23,memory_run-03,-0.15205191
mOFC,acq_ext,dACC,24,memory_run-01,1.1296592
mOFC,acq_ext,dACC,24,memory_run-02,-0.2110738
mOFC,acq_ext,dACC,24,memory_run-03,-0.46408767
mOFC,acq_ext,dACC,25,memory_run-01,0.24459681
mOFC,acq_ext,dACC,25,memory_run-02,-0.03878455
mOFC,acq_ext,dACC,25,memory_run-03,0.051242735
mOFC,acq_ext,dACC,26,memory_run-01,0.10363879
mOFC,acq_ext,dACC,26,memory_run-02,-0.17758642
mOFC,acq_ext,dACC,26,memory_run-03,0.6817016
mOFC,acq_ext,dACC,101,memory_run-01,-1.752728
mOFC,acq_ext,dACC,101,memory_run-02,-0.0200687
mOFC,acq_ext,dACC,101,memory_run-03,0.46292785
mOFC,acq_ext,dACC,102,memory_run-01,0.6734104
mOFC,acq_ext,dACC,102,memory_run-02,-0.5987905
mOFC,acq_ext,dACC,102,memory_run-03,1.4392109
mOFC,acq_ext,dACC,103,memory_run-01,0.5323187
mOFC,acq_ext,dACC,103,memory_run-02,0.06592197
mOFC,acq_ext,dACC,103,memory_run-03,-2.0405805
mOFC,acq_ext,dACC,104,memory_run-01,0.34781554
mOFC,acq_ext,dACC,104,memory_run-02,-0.07551089
mOFC,acq_ext,dACC,104,memory_run-03,-0.5656137
mOFC,acq_ext,dACC,105,memory_run-01,0.18116432
mOFC,acq_ext,dACC,105,memory_run-02,0.13045742
mOFC,acq_ext,dACC,105,memory_run-03,-1.0142227
